Statement,Year,Frequency,Share,Statement_FR,Frequency_FR
Hate speech that deliberately promotes hatred against an identifiable group,2021,A few times a year,18.31%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par an
Hate speech that deliberately promotes hatred against an identifiable group,2019,A few times a year,23.00%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par an
Promotion or encouragement of physical violence,2024,At least a few times a week,15.91%,Promotion de la violence physique ou incitation à la violence physique,Au moins quelques fois par semaine
Promotion or encouragement of physical violence,2022,At least a few times a week,15.09%,Promotion de la violence physique ou incitation à la violence physique,Au moins quelques fois par semaine
Promotion or encouragement of physical violence,2021,At least a few times a week,10.01%,Promotion de la violence physique ou incitation à la violence physique,Au moins quelques fois par semaine
Promotion or encouragement of physical violence,2019,At least a few times a week,26.00%,Promotion de la violence physique ou incitation à la violence physique,Au moins quelques fois par semaine
Promotion or encouragement of physical violence,2024,A few times a month,15.34%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par mois
Promotion or encouragement of physical violence,2022,A few times a month,15.21%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par mois
Promotion or encouragement of physical violence,2021,A few times a month,11.87%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par mois
Promotion or encouragement of physical violence,2019,A few times a month,24.00%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par mois
Promotion or encouragement of physical violence,2024,A few times a year,17.77%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par an
Promotion or encouragement of physical violence,2022,A few times a year,20.61%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par an
Promotion or encouragement of physical violence,2021,A few times a year,15.92%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par an
Promotion or encouragement of physical violence,2019,A few times a year,22.00%,Promotion de la violence physique ou incitation à la violence physique,Quelques fois par an
Identity fraud or impersonation,2024,At least a few times a week,19.98%,Fraude ou usurpation d’identité,Au moins quelques fois par semaine
Identity fraud or impersonation,2022,At least a few times a week,18.84%,Fraude ou usurpation d’identité,Au moins quelques fois par semaine
Identity fraud or impersonation,2024,A few times a month,18.48%,Fraude ou usurpation d’identité,Quelques fois par mois
Identity fraud or impersonation,2022,A few times a month,16.99%,Fraude ou usurpation d’identité,Quelques fois par mois
Identity fraud or impersonation,2024,A few times a year,19.55%,Fraude ou usurpation d’identité,Quelques fois par an
Identity fraud or impersonation,2022,A few times a year,22.71%,Fraude ou usurpation d’identité,Quelques fois par an
